threshold,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,predicted_positive,predicted_negative,predicted_positive_rate
0.2,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0,48,0,24,72,0,1.0
0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0,48,0,24,72,0,1.0
0.3,0.3472222222222222,0.3380281690140845,1.0,0.5052631578947369,0.5104166666666666,1,47,0,24,71,1,0.9861111111111112
0.35,0.3611111111111111,0.34285714285714286,1.0,0.5106382978723404,0.5208333333333334,2,46,0,24,70,2,0.9722222222222222
0.4,0.4722222222222222,0.3870967741935484,1.0,0.5581395348837209,0.6041666666666666,10,38,0,24,62,10,0.8611111111111112
0.45,0.4861111111111111,0.38181818181818183,0.875,0.5316455696202531,0.5833333333333334,14,34,3,21,55,17,0.7638888888888888
0.5,0.5833333333333334,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.6458333333333334,22,26,4,20,46,26,0.6388888888888888
0.55,0.6388888888888888,0.4642857142857143,0.5416666666666666,0.5,0.6145833333333333,33,15,11,13,28,44,0.3888888888888889
0.6,0.6111111111111112,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.5,40,8,20,4,12,60,0.16666666666666666
0.65,0.6666666666666666,0.0,0.0,0.0,0.5,48,0,24,0,0,72,0.0
0.7,0.6666666666666666,0.0,0.0,0.0,0.5,48,0,24,0,0,72,0.0
0.75,0.6666666666666666,0.0,0.0,0.0,0.5,48,0,24,0,0,72,0.0
0.8,0.6666666666666666,0.0,0.0,0.0,0.5,48,0,24,0,0,72,0.0
