,0,1
B2,0.34046395566283605,0.32243143713214806
B3,0.36109150024454406,0.3432386368779555
B4,0.3460750862871103,0.3301186074908911
B5,0.3681661593417451,0.3519639887732225
B6,0.45922137638220845,0.438875471689242
B7,0.49942535674632443,0.47570359641738946
B8,0.4849812867461798,0.4624542419338337
B8A,0.5132800056192462,0.48900571335543447
B11,0.2924277510154211,0.28876968970178785
B12,0.20316766411046464,0.20428471413656182
NDVI,0.33009885598561906,0.3421139768740356
NDMI,0.23218882468108681,0.20807824187377816
NDWI,-0.2950136304994367,-0.31267512036818007
NBR,0.4153965319769272,0.3854597339202546
hls_image_count,286.37426900584796,285.87426900584796
hls_valid_image_count,12.68421052631579,12.41812865497076
