model,accuracy,precision,recall,f1,roc_auc
svm_rbf,0.5833333333333334,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.6597222222222222
random_forest,0.5277777777777778,0.34375,0.4583333333333333,0.39285714285714285,0.5716145833333333
logistic_regression,0.4722222222222222,0.28125,0.375,0.32142857142857145,0.4366319444444444
