,0,1
B2,0.23420578922338597,0.1786394968086186
B3,0.2697955828633791,0.199836887360795
B4,0.26235659477305434,0.201611922691425
B5,0.28163230777028736,0.2357746745627979
B6,0.3899404886938777,0.3398314487256642
B7,0.442757935412598,0.39252659468272283
B8,0.4292048786091486,0.3798959870287799
B8A,0.4675963726076279,0.41227910097688736
B11,0.2572698787201596,0.2420936987030817
B12,0.18293437622582126,0.18088753164038113
NDVI,0.19678089221963954,0.271333598129728
NDMI,0.21238214306106884,0.1731544404819651
NDWI,-0.20373639653313308,-0.27432388692564513
NBR,0.41505122490592494,0.38753526732866495
hls_image_count,364.0,363.0
hls_valid_image_count,11.0,11.0
