model,accuracy,precision,recall,f1,roc_auc
random_forest,0.6407766990291263,0.6458333333333334,0.6078431372549019,0.6262626262626263,0.6440422322775264
svm_rbf,0.5728155339805825,0.559322033898305,0.6470588235294118,0.6,0.5872926093514329
logistic_regression,0.5242718446601942,0.5238095238095238,0.43137254901960786,0.4731182795698925,0.5399698340874811
