system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,distance_to_landslide_m,exclusion_distance_m,hls_date,hls_days_before_reference,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,longitude_latitude,random,record_id,reference_date,sample_type,sampling_seed,.geo
00000000000000000110,0.1608398338988201,0.06227986023193393,0.026651147009672353,0.0465479718438244,0.024253896794449795,0.0656330024813896,0.2288167367195016,0.29321675191168267,0.2834110244594116,0.32019850610219275,0.63967889817204,0.27590535449625053,0.8423356377736847,-0.7178560223219597,3378.4905238106976,1000,2023-06-22,0.8223495370370371,353,1,7,0,"{""type"":""Point"",""coordinates"":[94.80329317082199,28.78055429329787]}",0.0901510727709308,BG-0273,2023-06-23,background,2026,"{""type"":""Point"",""coordinates"":[94.80329508645285,28.78055429039504]}"
0000000000000000006c,0.2604820984836959,0.22170077083016385,0.1386713474314113,0.16928050103960646,0.1677006136213804,0.19547052588873684,0.3115106851260206,0.3767335158983721,0.3482330189157665,0.3968125209189106,0.22201218871758638,0.14415761646754874,0.34991400813822293,-0.34579293289109003,5272.341497247687,1000,2023-07-02,1.822349537037037,335,1,9,0,"{""type"":""Point"",""coordinates"":[93.1053834262972,24.71442489749007]}",0.032293973536838,BG-0109,2023-07-04,background,2026,"{""type"":""Point"",""coordinates"":[93.10538284115968,24.71442343749401]}"
000000000000000000ae,0.2605078677887053,0.18083354456047854,0.09742909358207441,0.14105861299807362,0.14669282672614828,0.17855288958734664,0.2921368549122986,0.33865720369056074,0.3151322924059618,0.3586298793470546,0.27078225521926547,0.09489335247002895,0.36472564765718074,-0.3815807753855067,17390.576667398604,1000,2023-07-07,1.822326388888889,336,1,9,0,"{""type"":""Point"",""coordinates"":[94.08694304568697,24.701622818365628]}",0.0532506428351119,BG-0175,2023-07-09,background,2026,"{""type"":""Point"",""coordinates"":[94.0869446424743,24.701621175443798]}"
00000000000000000103,0.4916068450119064,0.4017907331408015,0.6199649693469117,0.6168592389927546,0.5881282667071995,0.5967450271064499,0.6430562395500835,0.6594994528043774,0.6646320362770429,0.6624704311698838,0.2464700779782913,0.14964484767390968,0.06106816235125043,-0.037279065574777705,23699.592692582846,1000,2023-07-07,1.822326388888889,362,1,35,0,"{""type"":""Point"",""coordinates"":[95.04906544358478,26.463694567948462]}",0.0845586519307127,BG-0260,2023-07-09,background,2026,"{""type"":""Point"",""coordinates"":[95.04906371651862,26.46369500840936]}"
00000000000000000092,0.4796446437620353,0.3402742981656027,0.6331147005168748,0.6503190736799435,0.6434477399412186,0.6467441522245873,0.703888664234317,0.7250821222256006,0.6997032482010747,0.7350595317725755,0.3456122214284267,0.186593460622324,0.041883234838447164,-0.03658026517096625,7725.366392225761,1000,2023-07-23,3.807511574074074,363,1,19,0,"{""type"":""Point"",""coordinates"":[88.33748070669807,27.04238332536151]}",0.0447332847941066,BG-0147,2023-07-27,background,2026,"{""type"":""Point"",""coordinates"":[88.33747964108959,27.042385209552315]}"
0000000000000000004d,0.1911903852969469,0.0826077970735659,0.027724013973976,0.059782086982937556,0.03580123538048708,0.08824689889119545,0.2740335172902639,0.3554443369955953,0.33497923649435485,0.3898031694597743,0.604356503276677,0.2732747107442092,0.8068871577866059,-0.6971228769001917,5378.737940456732,1000,2023-08-01,2.822349537037037,349,1,16,0,"{""type"":""Point"",""coordinates"":[94.81160047608456,28.83578471894586]}",0.0237196569278999,BG-0078,2023-08-04,background,2026,"{""type"":""Point"",""coordinates"":[94.81159849014112,28.835782985349592]}"
000000000000000000c9,0.1882275142987295,0.18383002480133617,0.41667393835096406,0.4204249936731283,0.3976329503467124,0.4116513640734928,0.46073879131447076,0.4903073695399097,0.4876022574277468,0.49588392468492176,0.4524242290196704,0.44297359431833544,0.10163322277615153,-0.07398155030388578,5281.330408625782,1000,2023-08-01,8.822349537037036,333,1,11,0,"{""type"":""Point"",""coordinates"":[95.08810487330769,28.094749010378948]}",0.0637907615192837,BG-0202,2023-08-10,background,2026,"{""type"":""Point"",""coordinates"":[95.08810498082984,28.094749730806914]}"
0000000000000000012a,0.43386372544067897,0.25233702207182185,1.0154672003636547,1.0163792009697463,0.976165467952927,0.9481960856608921,0.9529599626243749,0.9890941057629178,0.9395768271124807,0.9827649679276731,0.5765851328189348,0.36820894849195,-0.019098936707036118,0.039265900027706,23910.160802667622,1000,2023-08-14,1.8144791666666666,335,1,21,0,"{""type"":""Point"",""coordinates"":[91.04690185238866,25.356071702676715]}",0.0981519333640407,BG-0299,2023-08-16,background,2026,"{""type"":""Point"",""coordinates"":[91.04690372998435,25.356071933622967]}"
0000000000000000013f,0.21851658125729356,0.13128997919732113,0.06895098685879546,0.12575357450910754,0.13064630371911318,0.1746449693033639,0.33729010096910056,0.42525507636105336,0.39465286417372775,0.4496547161195393,0.500744307667299,0.2872554792625405,0.5025832451127562,-0.5167101512910035,23427.40860055956,1000,2023-08-01,14.822349537037036,323,1,9,0,"{""type"":""Point"",""coordinates"":[92.74702331103596,23.248495426169736]}",0.1050234812367408,BG-0320,2023-08-16,background,2026,"{""type"":""Point"",""coordinates"":[92.74702511031283,23.248495634652944]}"
000000000000000000d1,0.3134750874702096,0.17346508797728308,0.12125566654834943,0.1709040464479488,0.13883529232797517,0.20014967800821457,0.42951651031894933,0.5182874195020536,0.4796318138025454,0.5576916231428426,0.46879218840403714,0.20950104716740242,0.5510341909803185,-0.4745745564828947,7497.094333832529,1000,2023-08-16,3.822326388888889,313,1,8,0,"{""type"":""Point"",""coordinates"":[93.97936277367153,25.198362216618445]}",0.0660915239394258,BG-0210,2023-08-20,background,2026,"{""type"":""Point"",""coordinates"":[93.97936310586353,25.198362804786385]}"
