system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,distance_to_landslide_m,exclusion_distance_m,hls_date,hls_days_before_reference,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,longitude_latitude,random,record_id,reference_date,sample_type,sampling_seed,.geo
0000000000000000014a,0.26523297365754805,0.215638014184397,0.17350041540020256,0.19653641843971623,0.19446343465045587,0.2146160739614993,0.29653926545086123,0.33230689463019236,0.32236240628166146,0.3456085309017224,0.1983723209822241,0.0972258029496825,0.247470156291981,-0.24248655392408605,5670.127819223646,1000,2024-06-06,8.822349537037036,364,1,8,0,"{""type"":""Point"",""coordinates"":[94.1674164423985,28.282495001133228]}",0.1073725554517972,BG-0331,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[94.16741659344048,28.282497067782614]}"
0000000000000000014b,0.19711222306717374,0.1895648415716097,0.41927806337135626,0.4142044055766794,0.39688611913814975,0.4174418149556402,0.4692901140684413,0.4867923852978456,0.48003117870722445,0.4918765728770596,0.4337934042897363,0.4178124676378519,0.09481516646252264,-0.07361233917263373,7464.226631994967,1000,2024-06-11,3.822326388888889,364,1,8,0,"{""type"":""Point"",""coordinates"":[93.26472494334102,27.21957462392228]}",0.1074678395331572,BG-0332,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[93.26472701468063,27.21957584430012]}"
0000000000000000014f,0.2219001571290992,0.16036576613107603,0.1489686755537534,0.1741992244918647,0.17046380455167526,0.1924576613107608,0.2808593745248113,0.31331973744234365,0.29450121141466884,0.32899079527598957,0.2948893894371638,0.14059035995644595,0.2667671816237716,-0.2566713783615817,18762.35934802772,1000,2024-06-11,3.822326388888889,367,1,11,0,"{""type"":""Point"",""coordinates"":[93.50044640232933,25.20914878206673]}",0.1082736433029564,BG-0336,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[93.5004460012246,25.2091486074577]}"
00000000000000000151,0.1816248519512073,0.14961058865212332,0.3063662904287087,0.3202437161512377,0.30515902718023996,0.3301883130029865,0.4139976767727897,0.44686720655970047,0.4520565774155996,0.45175742268563096,0.5026798964951883,0.42676290156493246,0.19399699285617017,-0.17067565862961107,14337.39120006005,1000,2024-06-13,1.8292939814814815,371,1,15,0,"{""type"":""Point"",""coordinates"":[96.66533796602309,27.97368887587895]}",0.1088001365511954,BG-0338,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[96.66533887902887,27.973688572353154]}"
0000000000000000004f,0.18679070073362009,0.07955390842398176,0.026004644573741454,0.05271150518593473,0.032782271692385526,0.07729608904629397,0.23475311915001265,0.28637484948140646,0.27462865165696915,0.3171332759929167,0.5507745587145841,0.1903646877146901,0.7867201898019065,-0.6779404904407627,15006.648442591448,1000,2024-06-08,7.829270833333333,368,1,14,0,"{""type"":""Point"",""coordinates"":[95.5900926335004,27.253428119120045]}",0.0240960384800298,BG-0080,2024-06-16,background,2026,"{""type"":""Point"",""coordinates"":[95.59009069393245,27.25342780040184]}"
000000000000000000db,0.21019608477919974,0.1970961960645456,0.662558308462745,0.6527392230259497,0.6210286863270775,0.6231888815822753,0.6419675451464413,0.6546828165309322,0.6500816379179521,0.6456163538873995,0.5346993555343246,0.5113297038072991,0.022856357183732648,0.002039869937354304,24950.96586174379,1000,2024-06-13,2.8292939814814817,369,1,15,0,"{""type"":""Point"",""coordinates"":[95.99736908731795,27.162181534263382]}",0.0736657375448989,BG-0220,2024-06-16,background,2026,"{""type"":""Point"",""coordinates"":[95.99736946073051,27.162180201966617]}"
0000000000000000012f,0.3737334211326107,0.30526636612298647,0.3511198308175462,0.35834336440076986,0.34048683517374106,0.36000817546347874,0.46218469253368427,0.4965851585452333,0.5019568382129469,0.5066495339884508,0.24366305506761163,0.1464255376965861,0.19166860425229865,-0.16693413924099806,6340.224637850757,1000,2024-06-11,4.8223263888888885,364,1,10,0,"{""type"":""Point"",""coordinates"":[94.55249103207093,26.379457689947817]}",0.0998807080041285,BG-0304,2024-06-16,background,2026,"{""type"":""Point"",""coordinates"":[94.55249076396679,26.379457011096854]}"
0000000000000000005b,0.38929227769900737,0.2874597427587603,0.403914578691513,0.41952115150901353,0.4039506279116871,0.4133975997569373,0.4922104111808789,0.5345705387887376,0.519097695969212,0.5438667257443791,0.2871933753109631,0.14289613715795454,0.12474652201674141,-0.10608837093749968,1022.1218237002998,1000,2024-06-12,4.807534722222222,365,1,11,0,"{""type"":""Point"",""coordinates"":[88.64656775531873,27.576485531341145]}",0.0262284850600411,BG-0092,2024-06-17,background,2026,"{""type"":""Point"",""coordinates"":[88.64656728265403,27.576485278840803]}"
0000000000000000006b,0.27012337537355013,0.20966248290533357,0.12147808337132149,0.15377005520944134,0.1659070860558173,0.19496356176872812,0.2964570632629286,0.3478181735298588,0.29734822468723093,0.3685022944841209,0.17294652848310635,0.047975703648895876,0.2837336897888678,-0.31827167258812006,2174.1523770489657,1000,2024-06-12,4.807534722222222,375,1,21,0,"{""type"":""Point"",""coordinates"":[88.30407758070672,27.112993190542824]}",0.0321080165903051,BG-0108,2024-06-17,background,2026,"{""type"":""Point"",""coordinates"":[88.30407894462947,27.112991087359493]}"
000000000000000000ad,0.3996273067963131,0.27670751038184954,0.5413257723083155,0.5549050947027246,0.5429730477058644,0.5528550693811405,0.5707608021877848,0.5788916894560924,0.5804581180998687,0.5789780563152033,0.3543662947102149,0.18450515303062548,0.03336659292972321,-0.022506474676123735,20263.333776760894,1000,2024-06-12,4.807534722222222,365,1,11,0,"{""type"":""Point"",""coordinates"":[88.80037998705629,27.770688300420822]}",0.0528627207786694,BG-0174,2024-06-17,background,2026,"{""type"":""Point"",""coordinates"":[88.80037973152577,27.770686268886383]}"
0000000000000000000e,0.1865001672664605,0.2070148968523493,1.0139694105124433,1.0147937249733894,0.9785439910791218,0.9957485224795986,1.0000332201327997,0.9877436261341175,0.9903178670991944,0.96867784986568,0.6542065780123809,0.6830433222125281,0.005980041703365807,0.0122067310223345,12708.67626575328,1000,2024-06-16,1.822349537037037,371,1,19,0,"{""type"":""Point"",""coordinates"":[94.09999929357146,25.275014163727178]}",0.0054942012510842,BG-0015,2024-06-18,background,2026,"{""type"":""Point"",""coordinates"":[94.09999952953291,25.275015292101006]}"
0000000000000000004e,0.17323955409171524,0.18169448695211565,0.8793217025589057,0.8745863744616164,0.8391983683810492,0.8443409120851281,0.8495852748923235,0.8486730225487714,0.8410589460349631,0.837098408918166,0.6446954249345235,0.6584051853175787,0.0011073170983698748,0.019542167618274972,11758.134323754672,1000,2024-06-16,2.822349537037037,362,1,10,0,"{""type"":""Point"",""coordinates"":[94.40085484164744,25.531515033624547]}",0.0238073160946814,BG-0079,2024-06-19,background,2026,"{""type"":""Point"",""coordinates"":[94.40085660257239,25.531515187843468]}"
