system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,hls_valid_image_count,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
00000000000000000070,0.4693237904655757,0.3288138608845433,0.6249449262880598,0.6155399817619942,0.5799041187496835,0.5753680682912001,0.6218563757029234,0.6489509650944829,0.6477925882770152,0.6529593951061352,0.3251975464795716,0.1588135792032924,0.0561138341081967,-0.0265384596641703,226.5130542247336,0,PART2,Lower Siang,293.3729248046875,2023-08-18,230.0,8.0,,2.0,0,,2023-08-16,1.822326388888889,311,1,5,Siji Landslide,1,Likabali Aalo Road,4.32477905,LS-0113,,0,Newspapers & Media/2023/Arunachal Pradesh/64,64,21.3645226533462,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[94.69707292462786,27.717103283061565]}"
00000000000000000075,0.5616834000506713,0.4447435216620218,0.8185847985812011,0.8438133620471243,0.8310239929060046,0.8255579224727642,0.8428885330630859,0.8666424626298457,0.8498005624524955,0.8740067038256907,0.3129040587467947,0.2041275084640469,0.0111704007926819,-0.0035340112551828,169.97858847766634,0,PART2,West Kameng,1533.0120849609375,2023-08-27,239.0,8.0,,2.0,0,,2023-08-24,2.814479166666666,317,1,11,Rupa Landslide,1,Shergaon - Rupa Road,18.61701869,LS-0118,,0,Newspapers & Media/2023/Arunachal Pradesh/73,73,38.70201331162149,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[92.38797203511146,27.20319188665193]}"
00000000000000000076,0.2781660707050243,0.2346899159238248,0.0900301053484603,0.1214122062398703,0.1379395715153971,0.1731819742706644,0.2808237489870341,0.3280329872366289,0.3161611932739059,0.3492492352106968,0.1469699930507947,0.0624048992989887,0.3972109037771406,-0.4542131744708728,124.02312842838842,0,PART2,Lower Subansiri,114.38894653320312,2023-10-27,300.0,10.0,11:30 AM,2.0,0,,2023-10-25,1.8203587962962964,323,1,10,Subansiri Landslide,1,Near Subansiri Hydropower project dam,0.0,LS-0119,,0,Newspapers & Media/2023/Arunachal Pradesh/85,85,21.195745590348643,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[94.25898408253103,27.55211654408407]}"
000000000000000000ac,0.0863484682768747,0.0529383563724745,0.0125614005772444,0.0304354701503873,0.0253594004759734,0.0417166995797255,0.1042814522254291,0.1287054990126081,0.1243252569750367,0.1345927287457593,0.4140173014623964,0.1838710001993259,0.6805838335147302,-0.6262804937900665,111.67767950987708,0,PART2,Upper Siang,433.3520202636719,2024-06-15,167.0,6.0,,3.0,0,,2024-06-06,8.822349537037036,364,1,8,Bomdo Landslide,1,Between Ramsing and Bomdo,23.89999961853028,LS-0173,,0,Newspapers & Media/2024/Arunachal Pradesh/52,3,19.321692323389044,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[94.91033389160995,28.748529029532026]}"
000000000000000000d7,0.2155439033024832,0.1614531735194457,0.0028206392555504,0.0539896120973044,0.0569083143680776,0.0986565417488494,0.2444054316492187,0.294808875739645,0.2753857128407425,0.3156812623274162,0.2699930781868518,0.1236294323615539,0.6630784197761873,-0.6774176102428155,38.7151106091946,0,PART2,Changlang,472.7594299316406,2024-06-16,168.0,6.0,,3.0,0,,2024-06-08,7.829270833333333,362,1,8,Rangfra Landslide,1,"Near Rangfra Mandir, Changlang",9.289999961853027,LS-0216,,0,Newspapers & Media/2024/Arunachal Pradesh/67,6,19.89571958926848,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[95.74674531260902,27.141179168301655]}"
000000000000000000e0,0.5182471875950136,0.3289202391811087,0.9649615181919524,0.969355786966656,0.9382342099929052,0.9202637833181312,0.94157142495186,0.9529502128306478,0.9191837336576468,0.9512357859531768,0.4730500037603235,0.2789619839456707,-0.0102626070380728,0.0265874587750863,147.7040418066265,0,PART2,West Kameng,176.45594787597656,2024-06-26,178.0,6.0,,3.0,0,,2024-06-24,1.8144560185185183,377,1,17,Tippi Landslide,1,Road connecting Bomdila-Seppa- Tawang.,163.88999938964844,LS-0225,,0,Newspapers & Media/2024/Arunachal Pradesh/68,7,12.686051631548494,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[92.60561629842908,27.036488393768852]}"
000000000000000000e5,0.3603428716284726,0.3155789596430743,0.3504127560332588,0.3620549685662135,0.3507936980328532,0.373747089839789,0.4283645355911577,0.452382331170148,0.4443711671060637,0.4583309470695597,0.1694529131997621,0.1043640471675874,0.1177549331731473,-0.1022299169934904,21.976267431207987,0,PART2,Papum Pare,196.9703369140625,2024-06-29,181.0,6.0,,3.0,0,,2024-06-26,2.822349537037037,371,1,17,Jullang Landslide,1,"Ganga Jullang Road, Itanagar",105.52999877929688,LS-0230,,0,Newspapers & Media/2024/Arunachal Pradesh/72,10,16.93184737245933,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[93.63269888047348,27.073828905990407]}"
000000000000000000e6,0.1702286510026332,0.1766412598744177,0.7413944905813247,0.758741047194653,0.7502768736074539,0.7715328438322868,0.7769920802106544,0.7758741543447437,0.7861707413408953,0.7702344439943287,0.6330664643265724,0.6440123392293093,0.0233626942367664,-0.0177536719401567,95.7776587486112,0,PART2,West Siang,1342.2303466796875,2024-06-29,181.0,6.0,,2.0,0,,2024-06-26,2.822349537037037,362,1,8,Tatu Landslide,1,AaloMechuka Road,543.1500244140625,LS-0231,,0,Newspapers & Media/2024/Arunachal Pradesh/73,11,31.38076510809455,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[94.36134274721286,28.519848491107105]}"
000000000000000000ec,0.4716234591035703,0.3206485338060269,0.7719662041023047,0.7993842947581669,0.7938579184603695,0.8195654798683213,0.8358410888832616,0.8350556039503673,0.8564830893897188,0.8334751937199294,0.4553030051579522,0.2898535181607374,0.0379399731710314,-0.0344763207785002,39.07105423206275,0,PART2,Upper Siang,424.70513916015625,2024-06-30,182.0,6.0,,3.0,0,,2024-06-26,3.822349537037037,367,1,8,Jengging Landslide,1,Pasighat - Mariyang- Yingkiong Road,172.5399932861328,LS-0237,,0,Newspapers & Media/2024/Arunachal Pradesh/79,15,27.990230934486053,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[94.96448075570197,28.67686681650209]}"
000000000000000000ed,0.1949034624353645,0.1349318006691676,0.2078472422183919,0.1997817905302646,0.1779738720470445,0.1877225083645949,0.2416484487478455,0.2579148839095609,0.2931483321504613,0.2632592162628003,0.353097476322431,0.1908682107004385,0.2958158949260999,-0.2516610041549281,347.20770652649054,0,PART2,KurungKu mey,724.7586669921875,2024-06-30,182.0,6.0,,3.0,0,,2024-06-21,8.821400462962963,367,1,8,Rengchi Landslide,1,Rengchi area in Kurung,453.1700134277344,LS-0238,,0,Newspapers & Media/2024/Arunachal Pradesh/85,18,37.941309814793335,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[93.43004165579647,27.895164106327762]}"
