system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,hls_valid_image_count,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
00000000000000000147,0.1836079371515459,0.0708516066903193,0.028183497212366952,0.05246376583882414,0.02891128231120122,0.0759597060314242,0.26421751647237723,0.3481690319310695,0.34253007602635593,0.38291920932589946,0.6564050515189952,0.30132979655064723,0.8429905707470098,-0.7329608718343522,86.53658331531443,0,PART2,Wokha,740.7920532226562,2024-08-29,242.0,8.0,,2.0,0,,2024-08-25,3.822349537037037,355,1,6,Longsa Landslide,1,Between Longsa Junction and Dikhu Bridge,21.6299991607666,LS-0328,NH 202,1,Newspapers & Media/2024/Nagaland/171,22,20.26698228086056,Newspapers & Media,0,Nagaland,5,2024,"{""type"":""Point"",""coordinates"":[94.53772694848297,26.249363416713532]}"
00000000000000000149,0.22488859995944863,0.11628052007299274,0.027183252230332515,0.07211824310624496,0.062282664233576625,0.10964308596918085,0.2846580596107056,0.34917215632603404,0.3347535178426601,0.3729800131792378,0.47783695165016576,0.19066995964172764,0.6827762620372662,-0.637125095800759,36.506750217220656,6,PART2,Chumoukedima,670.9368286132812,2024-09-03,247.0,9.0,11:00,3.0,1,,2024-08-30,3.822326388888889,363,1,9,Pherima Landslide,1,Between Pherima and Paglapahar,33.40999984741211,LS-0330,NH 29,1,Newspapers & Media/2024/Nagaland/174,24,28.265838841017608,Newspapers & Media,0,Nagaland,5,2024,"{""type"":""Point"",""coordinates"":[93.91372034706374,25.773951898799346]}"
0000000000000000014c,0.37305756285482583,0.2933822283049472,0.46993988746958654,0.4741708890916464,0.4461561739659369,0.47138501115166265,0.5586342457420924,0.5872706761962693,0.6202107309407949,0.5903188006893754,0.35961531427002047,0.2502851849960294,0.1678047369886581,-0.13676462541853654,260.3762957928484,0,PART2,Kohima,1147.130859375,2024-09-09,253.0,9.0,5:00 PM,3.0,0,,2024-09-04,4.822349537037037,377,1,19,KMC Dumping Landslide,1,Near old Kohima Municipal Council (KMC) dumping site,45.029998779296875,LS-0333,NH 29,1,Newspapers & Media/2024/Nagaland/177,25,21.880873718496275,Newspapers & Media,0,Nagaland,5,2024,"{""type"":""Point"",""coordinates"":[94.06852695833624,25.710967096419424]}"
00000000000000000154,0.19863728014597798,0.11274447260378118,0.03361571290992954,0.07205078817983677,0.05658015104668254,0.10299930559075468,0.31230371534289614,0.4005301383749807,0.40030979775964315,0.4332965127477315,0.5584181437594801,0.33495134912504276,0.7501142161089508,-0.6927424108761782,260.37629039615234,0,PART2,Kohima,1147.130859375,2024-10-04,278.0,10.0,,3.0,0,,2024-09-24,9.822349537037036,409,1,18,KMC Dumping Landslide,1,Near old Kohima Municipal Council (KMC) dumping site,16.3799991607666,LS-0341,NH 29,1,Newspapers & Media/2024/Nagaland/183,26,21.880862711717302,Newspapers & Media,0,Nagaland,5,2024,"{""type"":""Point"",""coordinates"":[94.06853587653833,25.71090020990362]}"
0000000000000000004b,0.2790674502254422,0.24630701656618886,0.16917953290440252,0.18762192106996306,0.19537091038046508,0.22170358174172966,0.27598212675414174,0.2980791782765085,0.27896033740311066,0.31333671918536915,0.06359869970758525,-2.3614021839347764E-4,0.18501505935177381,-0.20731079984388068,225.64007915423528,0,PART2,Gangtok,1206.945556640625,2023-03-26,85.0,3.0,,3.0,0,,2023-03-25,0.8076273148148149,208,1,12,Sokpay Landslide,1,Sokpay Village,0.669916422,LS-0076,Dikchu-Rakdong Road,1,Newspapers & Media/2023/Sikkim/2,2,52.43651809032978,Newspapers & Media,0,Sikkim,6,2023,"{""type"":""Point"",""coordinates"":[88.52320226557411,27.39235587154121]}"
00000000000000000053,0.20414754040224925,0.11318562743806673,0.031074689700592725,0.06139678301838995,0.047512315720147906,0.10097629565834132,0.24867744566594058,0.2872336947160442,0.29136718172146503,0.31109132174882204,0.4376259334165423,0.17305372378030953,0.7159787020648523,-0.6480095382157665,40.833014360378456,0,PART2,North Sikkim,1731.767333984375,2023-05-19,139.0,5.0,,2.0,0,,2023-05-14,4.807627314814815,362,1,12,Chungthang Landslide,1,Chungthang_Lachung_Road,13.09883959,LS-0084,Chungthang_Lachung_Road,1,Newspapers & Media/2023/Sikkim/11,11,35.328117621942425,Newspapers & Media,0,Sikkim,6,2023,"{""type"":""Point"",""coordinates"":[88.65730527065543,27.61323744222365]}"
00000000000000000059,0.44194126171776055,0.36787608310108966,0.4808063744616167,0.47996927286546764,0.4627953128958704,0.4733748771218646,0.5106549328604003,0.5289807347352418,0.5160244844185458,0.533873569799848,0.1687464330051572,0.07750621502893215,0.05456482481337048,-0.03634683390004379,5.261703075380694,0,PART2,North Sikkim,1608.356689453125,2023-06-16,167.0,6.0,,2.0,0,,2023-06-13,2.807511574074074,354,1,12,Chungthang 2 Landslide,1,Along Chungthnag Road,3.215050509,LS-0090,NH 10,1,Newspapers & Media/2023/Sikkim/21,21,2.903216327356073,Newspapers & Media,0,Sikkim,6,2023,"{""type"":""Point"",""coordinates"":[88.64646073689345,27.60389116641563]}"
0000000000000000006c,0.3935224371961103,0.23324431726094005,0.7796171241896277,0.7786383610210696,0.7558132141410048,0.7504275830632088,0.765238690235008,0.7806417544570501,0.7499868213128037,0.7801950010129659,0.526200557444276,0.3122253179024023,-0.003933783369980335,0.018807182320746203,49.31699844738529,0,PART2,East Sikkim,673.744140625,2023-08-04,216.0,8.0,,2.0,0,,2023-08-02,1.8075115740740741,344,1,11,32 No. Landslide,1,"National Highway NH-10, connecting Sikkim with the mainland and capital Gangtok",1.9800000190734863,LS-0109,NH 10,1,Newspapers & Media/2023/Sikkim/67,67,28.766001420853662,Newspapers & Media,0,Sikkim,6,2023,"{""type"":""Point"",""coordinates"":[88.55059006424436,27.25999191587072]}"
00000000000000000072,0.3687749582215019,0.27283644604243673,0.8758981971945105,0.8766226971185497,0.8529459057071962,0.8489151314123664,0.8587706081936496,0.8734263381779509,0.8345233807666985,0.8721911378943636,0.5072659728288532,0.3871268366629726,-0.010930554386186665,0.024613092628689673,49.3169836743557,0,PART2,East Sikkim,673.744140625,2023-08-24,236.0,8.0,,2.0,0,,2023-08-22,1.8075115740740741,303,1,10,32 No. Landslide,1,"National Highway NH-10, connecting Sikkim with the mainland and capital Gangtok",21.48876357,LS-0115,NH 10,1,Newspapers & Media/2023/Sikkim/68,68,28.76599417120897,Newspapers & Media,0,Sikkim,6,2023,"{""type"":""Point"",""coordinates"":[88.5506837053665,27.259933947557027]}"
000000000000000000a3,0.3003140974967062,0.26003014594101553,0.17255901489814532,0.1963606618019662,0.2021062379649336,0.23617717137934524,0.33147590959764867,0.3706849650349652,0.350413033343468,0.3912493919124355,0.1488373470373275,0.07735776108208725,0.2784172489136491,-0.29225980460567913,36.98204800511536,0,PART2,Gangtok,421.1888427734375,2024-06-11,163.0,6.0,,3.0,0,,2024-06-07,3.807511574074074,367,1,11,Shantinagar Landslide,1,Shantinagar Area in Singtam,10.0,LS-0164,NH 10,1,Newspapers & Media/2024/Sikkim/46,6,42.032610683867325,Newspapers & Media,0,Sikkim,6,2024,"{""type"":""Point"",""coordinates"":[88.50578947596038,27.235529287491513]}"
