system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,hls_valid_image_count,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
00000000000000000052,0.4392062281987766,0.3533186037106314,0.45092239522774386,0.4659627015823264,0.4499626661948333,0.46638938880744163,0.5208318487437441,0.5501818108285729,0.5171488246296952,0.5644778272079267,0.187099832541186,0.08150448790534555,0.07476040955164967,-0.05657468958153624,192.01577114442767,0,PART2,West Garo Hills,302.83648681640625,2023-05-06,126.0,5.0,,2.0,0,,2023-05-04,1.8076273148148148,376,1,43,Tura Civil Hospital,1,Tura Civil Hospital,0.0,LS-0083,,0,Newspapers & Media/2023/Meghalaya/9,9,23.471098264426644,Newspapers & Media,0,Meghalaya,3,2023,"{""type"":""Point"",""coordinates"":[90.20298576431664,25.51502081882785]}"
00000000000000000056,0.3890831306374784,0.27433911523259347,0.44983970305057264,0.46353153440762157,0.4495243792439444,0.44570433769129447,0.4941050572615789,0.5185791628661195,0.49248563393128586,0.5254889074693422,0.28423514866692523,0.11713698015802385,0.046355710118635235,-0.031042663995604677,0.8899075210103433,0,PART1,East Khasi Hills,1320.3873291015625,2023-06-11,162.0,6.0,,2.0,0,,2023-06-10,0.8144560185185186,356,1,22,Pynursla Landslide,1,Riwar Mihngi circle,0.0,LS-0087,,0,Newspapers & Media/2023/Meghalaya/18,18,21.42332604113072,Newspapers & Media,0,Meghalaya,3,2023,"{""type"":""Point"",""coordinates"":[91.90260780364596,25.309598951497705]}"
0000000000000000005b,0.5573027166751144,0.4413129650278763,0.7180245007602634,0.7483976381145466,0.7442174759249874,0.7671358692346683,0.7842835732387228,0.7873363862138872,0.7866876381145465,0.791140466294982,0.2814611071072001,0.17033978437895653,0.029133551012748882,-0.025876280353357428,2.0782193507699844,4,PART1,East Khasi Hills,1585.38720703125,2023-06-17,168.0,6.0,,2.0,1,,2023-06-05,11.814479166666667,354,1,10,Laitlarem Landslide,1,Laitlarem Village area,413.2279502,LS-0092,,0,Newspapers & Media/2023/Meghalaya/28,28,24.78957263369767,Newspapers & Media,0,Meghalaya,3,2023,"{""type"":""Point"",""coordinates"":[91.570966621897,25.446163380360538]}"
0000000000000000005c,0.1695856700978652,0.09441774757872325,0.032491024795902865,0.05879414836975813,0.053082617514324845,0.0804387150753005,0.19544949039095383,0.2537401500938087,0.23212453222453241,0.2773378784037321,0.41463554083682175,0.14916138188051478,0.6207876976076259,-0.5866950166907434,334.2852735831101,0,PART1,West Jaintia Hills,100.87614440917967,2023-06-17,168.0,6.0,,2.0,0,,2023-06-10,6.814456018518518,363,1,19,Darrang Landslide,1,Darrang Village area,237.398367,LS-0093,,0,Newspapers & Media/2023/Meghalaya/29,29,16.640234071305407,Newspapers & Media,0,Meghalaya,3,2023,"{""type"":""Point"",""coordinates"":[92.02088991818967,25.20592485200509]}"
0000000000000000007d,0.36484640685181446,0.2812714930062842,0.4491465842286639,0.4694563804986824,0.46833042266369346,0.4791029343198864,0.5263153608351916,0.5500554632069734,0.4997743817149805,0.5599164656395702,0.2789476714947802,0.15534898491040333,0.03578970587435349,-0.03553254134330546,271.57974876661706,0,PART2,East Khasi Hills,1558.210205078125,2024-05-16,137.0,5.0,,3.0,0,,2024-05-15,0.8144560185185186,360,1,8,3rd Mile Landslide,1,Near St Gabriell Primary School,7.690000057220459,LS-0126,,0,Newspapers & Media/2024/Meghalaya/7,3,5.849900699465754,Newspapers & Media,0,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.85616626617433,25.569288078648285]}"
0000000000000000007e,0.43794577354089537,0.33306117843922717,0.58800029917347,0.6052645048425535,0.59652716393692,0.6074145124486588,0.6445247451954772,0.6646107550327061,0.6196156178692767,0.6720886314081439,0.2984501426603754,0.17052676820304025,0.019578694718240544,-0.012801364869766024,194.29911143797935,0,PART2,East Khasi Hills,1569.1439208984375,2024-05-16,137.0,5.0,,3.0,0,,2024-05-15,0.8144560185185186,360,1,8,Borma Landslide,1,"Near Borma College, 3rd Mile",7.690000057220459,LS-0127,,0,Newspapers & Media/2024/Meghalaya/8,4,18.17862613974629,Newspapers & Media,0,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.85661217627967,25.568235730799675]}"
0000000000000000007f,0.32159510057252866,0.23392014490550736,0.2316420023306479,0.2555698231747478,0.2650422151289458,0.28056047524953137,0.35026116937731167,0.38164530577088734,0.36695284997719996,0.40029705122359016,0.23295106623936596,0.07256095137230353,0.20118335988208513,-0.2235868664636411,329.4317181981798,0,PART2,East Khasi Hills,1490.227783203125,2024-05-17,138.0,5.0,,2.0,0,,2024-05-15,1.8144560185185186,360,1,8,Shillong Landslide,1,"Near New Assembly builidng, Meghalaya",97.5530014038086,LS-0128,,0,Newspapers & Media/2024/Meghalaya/10,5,6.315680943786274,Newspapers & Media,0,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87380646994175,25.568556786075522]}"
00000000000000000087,0.1550662681122707,0.1227611814773533,0.07265287263147222,0.09520737663390413,0.09425212787516458,0.11580106900395176,0.1785736143479582,0.20066694700577564,0.18905261931300027,0.211184132130915,0.2738527888744701,0.1286419916314558,0.4534827567466379,-0.47376339427865427,85.36749972596311,1,PART1,East Khasi Hills,1626.7437744140625,2024-05-28,149.0,5.0,Morning,2.0,1,,2024-05-25,2.8145717592592594,356,1,8,Weilong Landslide,1,East Khasi Hills,278.2149963378906,LS-0136,,0,Newspapers & Media/2024/Meghalaya/18,7,5.091944211910877,Newspapers & Media,0,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.61459446660389,25.363389087505418]}"
00000000000000000088,0.19435457769671177,0.10298467345594564,0.027623164614683074,0.05799672695951764,0.05144857374474337,0.09441331002685316,0.22004943000455998,0.25861036125044323,0.2526715255611289,0.28272541419668634,0.423542870590906,0.13204982203680207,0.6657730629419146,-0.62594403572076,359.11592411614816,0,PART2,East Khasi Hills,1264.058349609375,2024-05-28,149.0,5.0,4:00 AM,2.0,0,,2024-05-25,2.8145717592592594,356,1,8,Mawlai Landslide,1,East Khasi Hills,292.47698974609375,LS-0137,,0,Newspapers & Media/2024/Meghalaya/19,8,8.81523342554677,Newspapers & Media,0,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.89313221390739,25.628362249404336]}"
00000000000000000089,0.24652336865588395,0.15496541094154023,0.03899283577549054,0.079743431526644,0.09512846422957964,0.13067048623434563,0.23140107488718747,0.2640018759823555,0.25238053034528213,0.27863678446483786,0.25427367464056994,0.02113558987767517,0.4779781489719537,-0.5286077066039456,61.69171387552336,0,PART2,East Khasi Hills,1269.3739013671875,2024-05-28,149.0,5.0,5:00 AM,2.0,0,,2024-05-25,2.8145717592592594,356,1,8,Mawkynroh Landslide,1,East Khasi Hills,293.35198974609375,LS-0138,,0,Newspapers & Media/2024/Meghalaya/20,9,15.465074610801569,Newspapers & Media,0,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.90259888544385,25.62580718450071]}"
