system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,hls_valid_image_count,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
00000000000000000036,0.2700851829360863,0.20531516623652654,0.1201769495470878,0.15027966196042716,0.15964935478973732,0.19145490106775984,0.3077140225697082,0.3613940893679471,0.3404753453772583,0.38311410353727043,0.24773684963951403,0.11574996017150666,0.37275496195011715,-0.40151379062950077,195.00126920706816,0,PART2,East Siang,250.6267852783203,2021-08-13,225.0,8.0,14:48,3.0,0,,2021-08-06,6.8223263888888885,9,1,8,Sirki Waterfall Landslide,1,"near Sirki waterfall, 4kms from Pasighat towards Pangin and Aalo",52.842427,LS-0055,NH 13,1,Newspapers/2021/Arunachal Pradesh/3,3,20.883790908841725,Newspapers,0,Arunachal Pradesh,0,2021,"{""type"":""Point"",""coordinates"":[95.2748431072239,28.122052086129198]}"
00000000000000000037,0.11422793030088131,0.07738773173943873,0.012607147198865357,0.03522339175362172,0.031173254989362777,0.05502149731536824,0.15762816837199875,0.19579285280113456,0.1733191014081653,0.21043999088238272,0.37004750177637546,0.19745475741350538,0.6775792823494206,-0.6541285725055129,312.59802774472683,0,PART2,West Siang,850.4159545898438,2021-08-13,225.0,8.0,,3.0,0,,2021-08-06,6.8223263888888885,8,1,8,Likabali_Basar_landslide,1,Between Likabali and Basar,19.044726,LS-0056,NH 13,1,Newspapers/2021/Arunachal Pradesh/4,4,20.39602762612812,Newspapers,0,Arunachal Pradesh,0,2021,"{""type"":""Point"",""coordinates"":[94.72132151615651,27.78422167211803]}"
00000000000000000062,0.10224017540302142,0.14221742877420665,1.0338267261482315,1.052862252864241,1.0247648636317555,1.040054136672412,1.0335471509682659,1.0233529554902165,1.019718108080706,0.999207786677482,0.7552141811450643,0.8177556387494544,-0.002469201292831477,0.01599236657045077,29.9173162604838,0,PART2,West Kameng,1180.6104736328125,2023-06-23,174.0,6.0,,2.0,0,,2023-06-20,2.8144560185185186,366,1,20,Sessa Landslide,1,Balipara-Charduar-Tawang road,1.970178811,LS-0099,,0,Newspapers & Media/2023/Arunachal Pradesh/35,35,7.536530561723392,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[92.52516073812176,27.106991240524888]}"
00000000000000000063,0.24541816662446178,0.1703920486199038,0.06153597872879211,0.09852350468473035,0.08962530260825524,0.1234510407698152,0.28500210686249694,0.3524133400860979,0.3354025221575083,0.37707131425677387,0.3312600955776986,0.15560438394736043,0.5976733212309443,-0.5637237093874305,193.3868398973543,0,PART2,West Siang,372.9962158203125,2023-06-23,174.0,6.0,,2.0,0,,2023-06-22,0.8223495370370371,353,1,7,Pangin Landslide,1,Aalo Pangin Landslide,0.0,LS-0100,,0,Newspapers & Media/2023/Arunachal Pradesh/36,36,39.90175497466261,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[94.93064063780734,28.233721353810633]}"
0000000000000000006a,0.20340654200871594,0.08970791020573626,0.028648758487888924,0.06003108340934428,0.034899239890544234,0.0830016418364245,0.26618832978615586,0.3579662460727678,0.336332851930678,0.38795533090098294,0.5673164564279013,0.23658852029204525,0.7988825231490817,-0.6864375166553427,155.30630651766978,0,PART2,Upper Subansiri,459.2353820800781,2023-07-28,209.0,7.0,,2.0,0,,2023-07-22,5.822233796296296,349,1,5,Taliha Landslide,1,Donyi Colony in Taliha town,76.79615263,LS-0107,,0,Newspapers & Media/2023/Arunachal Pradesh/53,53,26.816879128197364,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[94.14435397175008,28.235585258050982]}"
00000000000000000070,0.46932379046557576,0.32881386088454334,0.6249449262880598,0.6155399817619942,0.5799041187496835,0.5753680682912001,0.6218563757029234,0.6489509650944829,0.6477925882770152,0.6529593951061352,0.3251975464795716,0.1588135792032924,0.05611383410819674,-0.02653845966417039,226.5130542247336,0,PART2,Lower Siang,293.3729248046875,2023-08-18,230.0,8.0,,2.0,0,,2023-08-16,1.822326388888889,311,1,5,Siji Landslide,1,Likabali Aalo Road,4.32477905,LS-0113,,0,Newspapers & Media/2023/Arunachal Pradesh/64,64,21.3645226533462,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[94.69707292462786,27.717103283061565]}"
00000000000000000075,0.5616834000506713,0.4447435216620218,0.8185847985812011,0.8438133620471243,0.8310239929060046,0.8255579224727642,0.8428885330630859,0.8666424626298457,0.8498005624524955,0.8740067038256907,0.3129040587467947,0.20412750846404698,0.011170400792681924,-0.0035340112551828827,169.97858847766634,0,PART2,West Kameng,1533.0120849609375,2023-08-27,239.0,8.0,,2.0,0,,2023-08-24,2.8144791666666666,317,1,11,Rupa Landslide,1,Shergaon - Rupa Road,18.61701869,LS-0118,,0,Newspapers & Media/2023/Arunachal Pradesh/73,73,38.70201331162149,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[92.38797203511146,27.20319188665193]}"
00000000000000000076,0.2781660707050243,0.2346899159238248,0.09003010534846032,0.12141220623987031,0.1379395715153971,0.17318197427066442,0.2808237489870341,0.3280329872366289,0.31616119327390596,0.3492492352106968,0.1469699930507947,0.06240489929898875,0.3972109037771406,-0.4542131744708728,124.02312842838842,0,PART2,Lower Subansiri,114.38894653320312,2023-10-27,300.0,10.0,11:30 AM,2.0,0,,2023-10-25,1.8203587962962964,323,1,10,Subansiri Landslide,1,Near Subansiri Hydropower project dam,0.0,LS-0119,,0,Newspapers & Media/2023/Arunachal Pradesh/85,85,21.195745590348643,Newspapers & Media,0,Arunachal Pradesh,0,2023,"{""type"":""Point"",""coordinates"":[94.25898408253103,27.55211654408407]}"
000000000000000000ac,0.08634846827687477,0.05293835637247455,0.012561400577244424,0.03043547015038736,0.02535940047597347,0.041716699579725555,0.10428145222542917,0.12870549901260817,0.12432525697503673,0.1345927287457593,0.4140173014623964,0.18387100019932595,0.6805838335147302,-0.6262804937900665,111.67767950987708,0,PART2,Upper Siang,433.3520202636719,2024-06-15,167.0,6.0,,3.0,0,,2024-06-06,8.822349537037036,364,1,8,Bomdo Landslide,1,Between Ramsing and Bomdo,23.899999618530273,LS-0173,,0,Newspapers & Media/2024/Arunachal Pradesh/52,3,19.321692323389044,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[94.91033389160995,28.748529029532026]}"
000000000000000000d7,0.2155439033024832,0.16145317351944574,0.002820639255550497,0.0539896120973044,0.056908314368077674,0.09865654174884946,0.2444054316492187,0.29480887573964504,0.2753857128407425,0.3156812623274162,0.26999307818685186,0.1236294323615539,0.6630784197761873,-0.6774176102428155,38.7151106091946,0,PART2,Changlang,472.7594299316406,2024-06-16,168.0,6.0,,3.0,0,,2024-06-08,7.829270833333333,362,1,8,Rangfra Landslide,1,"Near Rangfra Mandir, Changlang",9.289999961853027,LS-0216,,0,Newspapers & Media/2024/Arunachal Pradesh/67,6,19.89571958926848,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[95.74674531260902,27.141179168301655]}"
