system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,hls_valid_image_count,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
000000000000000000e7,0.18057143724389133,0.21302682248191432,0.8675461931501995,0.8908872312439928,0.888629013001467,0.9295472150553952,0.9314905246117267,0.9062890119896793,0.938736935296201,0.8862144533818987,0.6300837140478406,0.6773513743220132,0.027420164707316837,-0.026151990436124477,356.860998620655,0,PART2,Lohit,563.9830322265625,2024-06-29,181.0,6.0,,3.0,0,,2024-06-28,0.8292708333333333,363,1,9,Demwe Landslide,1,Demwe- Brahmakund Tri Junction to Parashuram Kund-Wakro Road,339.6000061035156,LS-0232,NH 13,1,Newspapers & Media/2024/Arunachal Pradesh/75,12,41.88105774310379,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[96.37484090969426,27.886843423762034]}"
000000000000000000e8,0.15504350179592244,0.17575559771336055,0.8973969545201596,0.9240480346031261,0.9238274700258006,0.9540649921586485,0.9606470582283606,0.9526246319623611,0.9515979460717361,0.9410624879850251,0.6882191354069691,0.719814619658583,0.014811773814244774,-0.014689296358717916,,0,NONE,Anjaw,,2024-06-29,181.0,6.0,,2.0,0,,2024-06-28,0.8292708333333333,362,1,8,Hayuliang Landslide,1,RamMandir- Tidding-Khupa- Hayuliang- Hawai Road,386.79998779296875,LS-0233,NH 113,1,Newspapers & Media/2024/Arunachal Pradesh/76,13,,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[96.56551652984065,28.067981026755117]}"
000000000000000000e9,0.4705302439765134,0.30516874873456157,0.7478404332860904,0.7806925339137479,0.7772430502125939,0.8082383630289531,0.82479008908686,0.8254334025106297,0.8415887730309782,0.8269723020854424,0.4677603942048267,0.2827983469275255,0.03974627689308808,-0.0375383571300632,55.55891310509799,0,PART2,Siang District,284.74920654296875,2024-06-29,181.0,6.0,,3.0,0,,2024-06-26,2.822349537037037,368,1,14,Babuk Landslide,1,highway between Babuk and Kebang Village,197.39999389648438,LS-0234,NH 13,1,Newspapers & Media/2024/Arunachal Pradesh/80,16,40.97520161761688,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[95.09295191615278,28.142211681991824]}"
000000000000000000eb,0.5624276071754334,0.4143117664943752,0.7755341441167527,0.7756201733049558,0.7416830292895512,0.7127237508867947,0.7494146853146852,0.7714530201682376,0.7374109911827306,0.7784973244147155,0.2808720257087292,0.13466429699671253,-0.0028855822345472226,0.02525625118662161,76.17686012418147,0,PART2,East Kameng,449.0704956054688,2024-06-30,182.0,6.0,,3.0,0,,2024-06-24,5.814456018518518,375,1,16,Bana Landslide,1,Bana Chepa Road,102.73999786376953,LS-0236,NH 13,1,Newspapers & Media/2024/Arunachal Pradesh/78,14,31.318183104186893,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[92.95874142905356,27.3097822382335]}"
0000000000000000010f,0.3548959572420083,0.31484006281979837,0.8593539034398908,0.8480895587415778,0.8221342266578857,0.8271293783879632,0.8352182785348805,0.8347492780789303,0.8151706469426008,0.8279827904149147,0.4428398874044633,0.3934636526190404,-0.004249199830201824,0.01979356317254204,129.98661851751888,0,PART2,Papum Pare,125.45680236816406,2024-07-05,187.0,7.0,Morning,3.0,0,,2024-07-01,3.822326388888889,365,1,8,Karsingsa Landslide,1,Between Nirjuli and Banderdewa,106.56999969482422,LS-0272,NH 415,1,Newspapers & Media/2024/Arunachal Pradesh/118,22,7.804459809963373,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[93.78363499203158,27.121840047032858]}"
00000000000000000114,0.38155483168818005,0.2727107213363704,0.48192925841559076,0.48823903315616257,0.4720453961022525,0.4752242723361172,0.5316476132624651,0.5584219944317893,0.5292422728423184,0.5648285041761576,0.31987146941572103,0.16213468338735754,0.05734959243664573,-0.040571416573199286,47.35519510792909,0,PART2,Siang District,301.6027526855469,2024-07-06,188.0,7.0,1:00,3.0,0,,2024-07-01,4.8223263888888885,369,1,14,Babuk Landslide,1,highway between Babuk and Kebang Village,24.299999237060547,LS-0277,NH 13,1,Newspapers & Media/2024/Arunachal Pradesh/117,21,37.95773386411679,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[95.09307231188123,28.142492605358193]}"
00000000000000000121,0.35474482723680206,0.26906691660755916,0.36569949842942545,0.37363898064646883,0.35563678184213204,0.3509323285033944,0.42870682946600486,0.4777099604823187,0.4570236295470665,0.4866782247441484,0.25944625156398843,0.12627347068949485,0.12606142805892706,-0.10122032456523382,122.22576530810682,0,PART2,Papum Pare,297.48974609375,2024-07-22,204.0,7.0,,3.0,0,,2024-07-06,15.822349537037036,376,1,6,Holongi Landslide,1,BetweeenHolon gi and Itanagar,78.83000183105469,LS-0290,NH 415,1,Newspapers & Media/2024/Arunachal Pradesh/134,27,13.824035014548414,Newspapers & Media,0,Arunachal Pradesh,0,2024,"{""type"":""Point"",""coordinates"":[93.62182759210518,27.03100369947311]}"
00000000000000000097,0.2534772245601581,0.16444140850783348,0.06540146022410381,0.09464158596562386,0.09005027125690818,0.11983840693606455,0.23460657100846732,0.2787142878872382,0.2716393702783553,0.30325415504740655,0.24845412846499987,0.03473516880404888,0.5165511120302057,-0.4956724218599102,335.0662998987086,0,PART1,Dima Hasao,563.2509765625,2024-05-30,151.0,5.0,,3.0,0,,2024-05-22,7.8223263888888885,349,1,10,Mahur Landslide,1,Mahur Lasang Road,154.66200256347656,LS-0152,NH 27,1,Newspapers & Media/2024/Assam/38,8,13.276977706682745,Newspapers & Media,0,Assam,1,2024,"{""type"":""Point"",""coordinates"":[93.116464292415,25.17989707915612]}"
00000000000000000135,0.41861744068140333,0.24759406307037105,0.8356336696410461,0.8259420604339891,0.8022057493409047,0.7789270584060025,0.8016264195903468,0.8114160971405397,0.7902506083958631,0.8137597647535997,0.5236153819197953,0.3078412535436411,-0.007615059652890566,0.022196584938614265,212.19084597276316,0,PART1,Dima Hasao,90.31522369384766,2024-08-10,223.0,8.0,,3.0,0,,2024-07-31,9.82232638888889,360,1,7,Damchera Landslide,1,Silchar-Haflong Road section,0.0,LS-0310,NH 27,1,Newspapers & Media/2024/Assam/154,15,24.098202999238737,Newspapers & Media,0,Assam,1,2024,"{""type"":""Point"",""coordinates"":[92.74731761170548,25.006924090191905]}"
0000000000000000006e,0.2195398438688093,0.13739986820094297,0.35921708318548196,0.3551641709332388,0.3325601155776349,0.31045742890454725,0.35209482942160514,0.4013753282303443,0.363050190094794,0.40544987580473474,0.47593581456984974,0.25886251938744836,0.04501407192128223,-0.01155934754884992,132.4913661037067,0,PART1,Noney,399.5615539550781,2023-08-16,228.0,8.0,4:00 PM,2.0,0,,2023-08-01,14.822349537037036,321,1,7,Awangkhul Landslide,1,Jiribam Imphal Road,5.34347082,LS-0111,NH 37,1,Newspapers & Media/2023/Manipur/62,62,0.8326291845945739,Newspapers & Media,0,Manipur,2,2023,"{""type"":""Point"",""coordinates"":[93.55041508873425,24.820489075147332]}"
