B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,NDWI,NBR,hls_image_count,hls_valid_image_count,landslide_target,record_id
0.6331727373962337,0.6463370824053454,0.6277228487548087,0.6241251316055882,0.6713410963757847,0.6937580431261391,0.6530364294391575,0.6982977778902614,0.3537898714314639,0.1940401295808868,0.0197645108767388,0.2972176608308002,-0.0051558285379407,0.5418592864726051,402,12,0,BG-0001
1.1113505720360433,1.1561782575680866,1.147779472511896,1.2175943555735538,1.209905841854814,1.1645008049002736,1.128355710235901,1.123535845904627,0.1563711805204009,0.2270836235699099,-0.0085336593464304,0.7565689927633612,0.0121786533815166,0.6649298601475535,362,6,0,BG-0003
0.4857615808080808,0.4926961313131314,0.4866183080808081,0.4784024848484849,0.534060868686869,0.570387161616162,0.5500196969696967,0.5909866616161618,0.5188516161616159,0.3859253585858585,0.0611605869937207,0.029159806634507,-0.0549752522228105,0.1753247558815678,382,26,0,BG-0004
0.3923524806162267,0.4174485633203264,0.420343678102671,0.4451828916028985,0.4627983935539453,0.4652467440328384,0.4706588101150357,0.475655592155273,0.4576953985709218,0.3843767090660316,0.05647024859943,0.0139638636016558,-0.0599142045053429,0.1009105459521061,371,23,0,BG-0006
0.5857132829920942,0.5886860328400569,0.556895063855666,0.5740673373200896,0.6057412021082508,0.6232940147982974,0.5983218376241644,0.6201175096290292,0.1824336914656396,0.2102293127914049,0.0358606022084949,0.5326739685639658,-0.0081177261110652,0.4799851247917863,366,10,0,BG-0007
0.0318576722258833,0.0461337963197647,0.0450774877072033,0.0645372636488061,0.1652376995995335,0.2159580524154712,0.2089970142444366,0.242591478684037,0.1536162467683886,0.0761996400871901,0.6451632307772207,0.1527268123657763,-0.6383518225984265,0.4656344039815758,371,39,0,BG-0008
0.1409596867396593,0.1657456001622059,0.1746083890916463,0.1743101328061638,0.1908203416463909,0.2153074006488239,0.1927828467153284,0.2217113848337388,0.1753695610300082,0.1683248479318735,0.0494689471395851,0.0472991220999037,-0.0754117191776358,0.0677304835814981,363,5,0,BG-0010
0.0452896488920368,0.0704521096832945,0.0584923707376302,0.0900080137610036,0.2262988363857127,0.2691939239097438,0.2585599716685215,0.287871845593443,0.1700980977436,0.0903447434989375,0.6310238852441589,0.206369319131777,-0.5717354244632777,0.4821236883796425,372,16,0,BG-0011
0.0341036255767963,0.0602032909081689,0.0340134830890928,0.0773681760559809,0.2744247249125299,0.3794697175599615,0.3692878910805741,0.4076414786268447,0.1829727954971858,0.0783499467572638,0.8313247349621797,0.3373680222250521,-0.7196529594419152,0.6499404646590801,368,8,0,BG-0012
1.0139694105124433,1.0147937249733894,0.9785439910791218,0.9957485224795986,1.0000332201327995,0.9877436261341176,0.9903178670991944,0.96867784986568,0.1865001672664605,0.2070148968523493,0.0059800417033658,0.6830433222125281,0.0122067310223345,0.6542065780123809,371,19,0,BG-0015
