system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,distance_to_landslide_m,exclusion_distance_m,hls_date,hls_days_before_reference,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,longitude_latitude,random,record_id,reference_date,sample_type,sampling_seed,.geo
0000000000000000011b,0.35229698673148985,0.32235406664640914,1.209340524663223,1.286085895877646,1.2875982983895475,1.3079689050947028,1.3138690418312566,1.3173917704851614,1.3087616175427932,1.3102679023599717,0.6047440782146051,0.5758163067516713,0.008151150009433882,-0.008738749212764659,7598.783089316821,1000,2024-05-27,0.8223495370370371,391,1,43,0,"{""type"":""Point"",""coordinates"":[94.99517720735388,25.664124239852974]}",0.0946424438164368,BG-0284,2024-05-28,background,2026,"{""type"":""Point"",""coordinates"":[94.99517684927888,25.66412230984195]}"
00000000000000000153,0.20841021483583297,0.0936528374543981,0.037580112484799345,0.0636717825293879,0.0383930127685448,0.08672116436967979,0.2644625354681801,0.3372085224969598,0.3246783846777463,0.36647726489663557,0.5522550911831552,0.2181029006210283,0.788509846610959,-0.6720908710440836,8943.96095974705,1000,2024-05-22,5.8223263888888885,358,1,10,0,"{""type"":""Point"",""coordinates"":[94.16463396334115,26.328053173003692]}",0.109011071878516,BG-0340,2024-05-28,background,2026,"{""type"":""Point"",""coordinates"":[94.16463468023942,26.328053091134365]}"
0000000000000000001b,0.1295617113004666,0.06816180766889836,0.05068131466828974,0.08141791945627917,0.0765257151552039,0.09732763745181579,0.14385100426049904,0.16304832116047877,0.1785016636234531,0.16295232805842974,0.44732953516160207,0.1588632609607451,0.39986274790031867,-0.3735145425244575,15164.19630016112,1000,2024-05-22,7.8223263888888885,350,1,11,0,"{""type"":""Point"",""coordinates"":[92.67354624387728,24.79417591983095]}",0.0094449338163282,BG-0028,2024-05-30,background,2026,"{""type"":""Point"",""coordinates"":[92.6735451165003,24.794176057468608]}"
0000000000000000002e,0.20252962643823813,0.09903932789294947,0.02411227127578691,0.06344036697247706,0.04832979877337929,0.0968867707435755,0.25651824725024086,0.3080865781337119,0.3027635967357697,0.3377901008667445,0.507025350875853,0.19836792915588736,0.7246897868682928,-0.653524411204791,21766.62084625821,1000,2024-05-25,4.814571759259259,361,1,22,0,"{""type"":""Point"",""coordinates"":[91.9046456128274,23.28282604518022]}",0.0158570640447288,BG-0047,2024-05-30,background,2026,"{""type"":""Point"",""coordinates"":[91.90464752107226,23.282824185996425]}"
0000000000000000007a,0.1287769207394277,0.057365895163332466,0.01246878197011902,0.03207228159027603,0.01854183844011144,0.05810666497847559,0.17437849582172704,0.2088986528234996,0.20962294758166625,0.2256781615598885,0.5702749630019357,0.23890679167028228,0.8374697624168729,-0.7346055882016622,12504.220313866805,1000,2024-05-22,7.8223263888888885,346,1,7,0,"{""type"":""Point"",""coordinates"":[94.46761650261963,28.45728730332726]}",0.0367629445522312,BG-0123,2024-05-30,background,2026,"{""type"":""Point"",""coordinates"":[94.46761689752702,28.45728595022822]}"
00000000000000000146,0.27852766560396747,0.2582358382672941,0.13468450989322409,0.19084347958099296,0.21753385456201615,0.2140875259349223,0.22759812256464754,0.24492141085977442,0.223658564849957,0.24752755933404194,-0.07175280143049105,-0.10926046439866437,0.013882174802785448,-0.0791674871326975,14258.914321600205,1000,2024-05-22,7.8223263888888885,346,1,7,0,"{""type"":""Point"",""coordinates"":[95.39065487978398,28.044557368921364]}",0.1066207400483773,BG-0327,2024-05-30,background,2026,"{""type"":""Point"",""coordinates"":[95.3906543926181,28.044558080989123]}"
0000000000000000005e,0.17935879728222281,0.10570822938850016,0.046419141060744344,0.08361229084271374,0.07502167123009834,0.0976894736842105,0.20771837541831448,0.2689169151201704,0.24000948686745766,0.2903386522665044,0.38847085689853783,0.14462393051065223,0.5237190398362672,-0.48327154350165463,23948.90255902089,1000,2024-05-30,1.8145949074074075,350,1,11,0,"{""type"":""Point"",""coordinates"":[91.48384470551476,23.52598974382673]}",0.0269603713811575,BG-0095,2024-06-01,background,2026,"{""type"":""Point"",""coordinates"":[91.48384689830216,23.525988737729442]}"
000000000000000000d9,0.1663883739796177,0.18610820869036143,0.853233600365056,0.880959620747351,0.8680443847284898,0.8852354763474114,0.8870271358312632,0.8952045429194343,0.8860796329158849,0.8913354155047412,0.6528440232794426,0.6838129560433507,0.010281626615896157,-0.002897509015671045,14316.17163090993,1000,2024-05-27,4.822349537037037,351,1,12,0,"{""type"":""Point"",""coordinates"":[92.87896811120743,22.199309080203403]}",0.0707426086561437,BG-0218,2024-06-01,background,2026,"{""type"":""Point"",""coordinates"":[92.87896895129931,22.199307420191275]}"
00000000000000000003,0.5188516161616159,0.3859253585858585,0.48576158080808085,0.4926961313131314,0.4866183080808081,0.47840248484848497,0.534060868686869,0.570387161616162,0.5500196969696967,0.5909866616161618,0.17532475588156782,0.029159806634507093,0.061160586993720796,-0.054975252222810536,5666.70422839416,1000,2024-06-04,6.814456018518518,382,1,26,0,"{""type"":""Point"",""coordinates"":[90.88523714369596,25.186469794108906]}",0.0013645651720813,BG-0004,2024-06-11,background,2026,"{""type"":""Point"",""coordinates"":[90.88523542806686,25.186468407827366]}"
0000000000000000000d,0.4458389760988456,0.35107470629937215,0.4842832236175817,0.49206719667814497,0.4845981112011342,0.5073310968199313,0.5494778964958478,0.5589652977516711,0.5643750455742353,0.5639577020457768,0.23300059761697625,0.11733758088120225,0.07605240787890324,-0.06844467781023876,4535.537375316395,1000,2024-06-08,2.829270833333333,376,1,20,0,"{""type"":""Point"",""coordinates"":[94.96077524272654,25.669118433032835]}",0.0052957204361659,BG-0014,2024-06-11,background,2026,"{""type"":""Point"",""coordinates"":[94.96077600995712,25.66911785726541]}"
00000000000000000019,0.16851277631312112,0.12971647738795383,0.19877085276820128,0.2135512624214155,0.19465597748935307,0.22595082133441502,0.3200818140336647,0.35773089129993924,0.35331132630298107,0.3717388460758466,0.46290264702463024,0.3541395444621947,0.28953433483278485,-0.2465501634109702,2921.568197023323,1000,2024-06-06,4.822349537037037,367,1,11,0,"{""type"":""Point"",""coordinates"":[92.98129110308086,25.20165303319589]}",0.0093027454352672,BG-0026,2024-06-11,background,2026,"{""type"":""Point"",""coordinates"":[92.98129024174324,25.201651998015265]}"
0000000000000000005a,0.5766805057261579,0.44655275666362626,0.9861783419479072,0.981855538664235,0.9484377774399514,0.9513787270700315,0.9538674926522758,0.9575772220533094,0.9465615840681058,0.9456403820816867,0.3589144212971423,0.24282488044425407,-9.900759915573505E-4,0.01830203340350032,11722.591949363768,1000,2024-06-04,6.814456018518518,365,1,9,0,"{""type"":""Point"",""coordinates"":[91.34078336641706,25.1794779236571]}",0.0260014784459183,BG-0091,2024-06-11,background,2026,"{""type"":""Point"",""coordinates"":[91.34078263705923,25.179477645523985]}"
00000000000000000081,0.23884196279211226,0.15397228164444668,0.06948269376995994,0.10110003548436156,0.08383073452628372,0.12732749024180048,0.2812540274750342,0.33690268667308754,0.33633276727328004,0.3593083895169055,0.37193271011866225,0.16949771849344622,0.6009613678140249,-0.5377574116663777,6571.487961292589,1000,2024-06-06,4.822349537037037,367,1,11,0,"{""type"":""Point"",""coordinates"":[93.76757776913811,25.1824566031608]}",0.039310885037245,BG-0130,2024-06-11,background,2026,"{""type"":""Point"",""coordinates"":[93.76757927852736,25.18245496668109]}"
000000000000000000bd,0.2854885250050616,0.12519399169872436,0.025127191739218457,0.0795221907268678,0.046405213605993124,0.11694362725248028,0.39090067827495445,0.4801172909495848,0.45175693460214617,0.5243784622393196,0.5660151115402223,0.22552652909611626,0.8136943411983024,-0.7006387530184974,19760.203320945737,1000,2024-06-08,2.829270833333333,372,1,16,0,"{""type"":""Point"",""coordinates"":[95.47559629575107,28.111452802925154]}",0.0595358473143546,BG-0190,2024-06-11,background,2026,"{""type"":""Point"",""coordinates"":[95.47559743607835,28.111451592438595]}"
